"file","page_type","bucket","current_indexation_risk","recommended_action","reason"
"calhoun-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"cape-coral-commercial-properties.html","city commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"cape-coral.html","city page","A","Medium","Keep indexable now","City page targets strong local demand and supports the surrounding county structure."
"central-florida.html","regional hub","A","Low","Keep indexable now","Regional hub supports discovery and connects city and county clusters."
"charlotte-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"charlotte-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"charlotte-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"citrus-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"citrus-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"citrus-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"clay-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"clay-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"clay-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"collier-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"collier-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"collier-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"columbia-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"columbia-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"columbia-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"counties.html","regional hub","A","Low","Keep indexable now","Core conversion or discovery page with clear statewide business relevance."
"create-your-offer.html","core service page","A","Low","Keep indexable now","Core conversion or discovery page with clear statewide business relevance."
"daytona-beach-commercial-properties.html","city commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"daytona-beach.html","city page","A","Medium","Keep indexable now","City page targets strong local demand and supports the surrounding county structure."
"deltona-commercial-properties.html","city commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"deltona.html","city page","A","Medium","Keep indexable now","City page targets strong local demand and supports the surrounding county structure."
"desoto-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"desoto-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"desoto-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"divorce-transition-counties.html","utility directory","C","High","Noindex, follow for now","Large county-plus-situation directory pages create crawl paths but are too thin and repetitive for indexing."
"divorce-transition-story.html","testimonial / story page","C","High","Noindex, follow for now","Proof-style content depends on composite or unverifiable local claims and should not be used as an index signal."
"divorce-transition.html","core service page","A","Medium","Keep indexable now","Strong statewide intent page that can support internal linking into local pages."
"dixie-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"dixie-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"dixie-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"duval-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"duval-county-divorce.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county-foreclosure.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county-inherited-property.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county-probate.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county-rental.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county-repairs.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county-urgent-sale.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county-vacant-home.html","county + situation page","A","Medium","Keep indexable now","Priority county-situation page tied to stronger markets and supported by county, city, and statewide hub links."
"duval-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"escambia-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"escambia-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"escambia-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"flagler-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"flagler-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"flagler-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"foreclosure-pressure-counties.html","utility directory","C","High","Noindex, follow for now","Large county-plus-situation directory pages create crawl paths but are too thin and repetitive for indexing."
"foreclosure-pressure-story.html","testimonial / story page","C","High","Noindex, follow for now","Proof-style content depends on composite or unverifiable local claims and should not be used as an index signal."
"foreclosure-pressure.html","core service page","A","Medium","Keep indexable now","Strong statewide intent page that can support internal linking into local pages."
"fort-lauderdale-commercial-properties.html","city commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"fort-lauderdale.html","city page","A","Medium","Keep indexable now","City page targets strong local demand and supports the surrounding county structure."
"franklin-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"franklin-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"franklin-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"gadsden-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"gadsden-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county-rental.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county-repairs.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county-urgent-sale.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county-vacant-home.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gadsden-county.html","county page","A","Medium","Keep indexable now","County hub page is the strongest scalable local asset and can absorb weaker county-situation intent."
"gainesville-commercial-properties.html","city commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"gainesville.html","city page","A","Medium","Keep indexable now","City page targets strong local demand and supports the surrounding county structure."
"gilchrist-county-commercial-properties.html","county commercial page","D","High","Consolidate into parent page","Local commercial pages are secondary, thin, and better consolidated into the main commercial hub until deeper market-specific proof exists."
"gilchrist-county-divorce.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gilchrist-county-foreclosure.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gilchrist-county-inherited-property.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
"gilchrist-county-probate.html","county + situation page","D","High","Consolidate into parent page","Low-support county-situation page is too templated to justify standalone indexing outside priority markets."
